query_id,doc_id,grade_gpt,grade_deepseek,adjudicated_grade,flag
cv_06,job_02,0,0,0,
cv_06,job_03,0,0,0,
cv_06,job_04,1,1,1,
cv_06,job_05,0,0,0,
cv_06,job_07,0,0,0,
cv_06,job_08,0,0,0,
cv_06,job_09,0,0,0,
cv_06,job_10,0,0,0,
cv_06,job_11,0,0,0,
cv_06,job_12,0,0,0,
cv_06,job_13,0,0,0,
cv_06,job_14,0,0,0,
cv_06,job_15,0,0,0,
cv_07,job_01,0,0,0,
cv_07,job_02,1,0,0,
cv_07,job_04,0,0,0,
cv_07,job_05,0,0,0,
cv_07,job_06,0,0,0,
cv_07,job_07,0,0,0,
cv_07,job_08,0,0,0,
cv_07,job_09,0,0,0,
cv_07,job_10,0,0,0,
cv_07,job_11,0,0,0,
cv_07,job_12,0,0,0,
cv_07,job_13,0,0,0,
cv_07,job_14,0,0,0,
cv_07,job_15,0,0,0,
cv_08,job_01,0,0,0,
cv_08,job_02,0,1,0,
cv_08,job_03,0,0,0,
cv_08,job_04,0,0,0,
cv_08,job_05,0,0,0,
cv_08,job_06,0,0,0,
cv_08,job_07,0,0,0,
cv_08,job_08,0,0,0,
cv_08,job_09,0,0,0,
cv_08,job_10,0,0,0,
cv_08,job_11,0,0,0,
cv_08,job_12,0,0,0,
cv_08,job_14,0,0,0,
cv_08,job_15,0,1,0,
cv_09,job_01,0,0,0,
cv_09,job_02,0,0,0,
cv_09,job_03,0,0,0,
cv_09,job_04,0,0,0,
cv_09,job_06,0,0,0,
cv_09,job_08,0,0,0,
cv_09,job_09,0,0,0,
cv_09,job_10,0,0,0,
cv_09,job_11,0,0,0,
cv_09,job_12,0,0,0,
cv_09,job_13,0,0,0,
cv_09,job_14,1,0,0,
cv_09,job_15,0,0,0,
cv_10,job_01,0,0,0,
cv_10,job_02,0,0,0,
cv_10,job_03,0,0,0,
cv_10,job_05,0,0,0,
cv_10,job_06,0,0,0,
cv_10,job_07,0,0,0,
cv_10,job_08,0,0,0,
cv_10,job_09,0,0,0,
cv_10,job_10,1,0,0,
cv_10,job_11,0,0,0,
cv_10,job_12,0,0,0,
cv_10,job_13,0,0,0,
cv_10,job_14,0,0,0,
cv_11,job_01,0,0,0,
cv_11,job_02,0,0,0,
cv_11,job_04,0,0,0,
cv_11,job_05,0,0,0,
cv_11,job_06,0,0,0,
cv_11,job_07,0,0,0,
cv_11,job_08,0,0,0,
cv_11,job_09,0,0,0,
cv_11,job_10,0,0,0,
cv_11,job_11,0,0,0,
cv_11,job_12,0,0,0,
cv_11,job_13,0,0,0,
cv_11,job_15,0,0,0,
cv_12,job_02,0,0,0,
cv_12,job_03,0,0,0,
cv_12,job_04,1,2,2,
cv_12,job_05,0,0,0,
cv_12,job_07,0,0,0,
cv_12,job_08,0,0,0,
cv_12,job_09,0,0,0,
cv_12,job_10,0,0,0,
cv_12,job_11,0,0,0,
cv_12,job_12,0,0,0,
cv_12,job_13,0,0,0,
cv_12,job_14,0,0,0,
cv_12,job_15,0,0,0,
cv_13,job_01,0,0,0,
cv_13,job_03,0,0,0,
cv_13,job_04,0,0,0,
cv_13,job_05,0,0,0,
cv_13,job_06,0,0,0,
cv_13,job_07,0,0,0,
cv_13,job_08,0,0,0,
cv_13,job_09,0,0,0,
cv_13,job_10,0,0,0,
cv_13,job_11,0,0,0,
cv_13,job_12,0,0,0,
cv_13,job_13,0,0,0,
cv_13,job_14,0,0,0,
cv_13,job_15,0,0,0,
cv_14,job_02,0,0,0,
cv_14,job_03,0,0,0,
cv_14,job_05,0,0,0,
cv_14,job_06,1,1,1,
cv_14,job_07,0,0,0,
cv_14,job_08,0,0,0,
cv_14,job_09,0,0,0,
cv_14,job_10,0,1,0,
cv_14,job_11,0,0,0,
cv_14,job_12,0,0,0,
cv_14,job_13,0,0,0,
cv_14,job_14,0,0,0,
cv_14,job_15,0,1,0,
cv_15,job_01,0,0,0,
cv_15,job_02,0,0,0,
cv_15,job_03,0,0,0,
cv_15,job_04,0,0,0,
cv_15,job_05,0,0,0,
cv_15,job_06,0,0,0,
cv_15,job_07,0,0,0,
cv_15,job_08,0,0,0,
cv_15,job_09,0,0,0,
cv_15,job_10,0,0,0,
cv_15,job_11,0,0,0,
cv_15,job_12,0,0,0,
cv_15,job_13,0,0,0,
cv_15,job_15,0,0,0,
cv_16,job_01,0,0,0,
cv_16,job_03,0,0,0,
cv_16,job_04,0,0,0,
cv_16,job_05,0,0,0,
cv_16,job_06,0,0,0,
cv_16,job_07,0,0,0,
cv_16,job_09,0,0,0,
cv_16,job_10,0,0,0,
cv_16,job_11,0,0,0,
cv_16,job_12,0,0,0,
cv_16,job_13,0,0,0,
cv_16,job_14,0,0,0,
cv_16,job_15,0,0,0,
cv_17,job_01,0,0,0,
cv_17,job_02,0,0,0,
cv_17,job_03,0,0,0,
cv_17,job_04,0,0,0,
cv_17,job_06,0,0,0,
cv_17,job_08,0,0,0,
cv_17,job_09,0,0,0,
cv_17,job_10,0,0,0,
cv_17,job_11,0,0,0,
cv_17,job_12,0,0,0,
cv_17,job_13,0,0,0,
cv_17,job_14,0,0,0,
cv_17,job_15,0,0,0,
cv_18,job_02,0,0,0,
cv_18,job_03,0,0,0,
cv_18,job_05,0,0,0,
cv_18,job_06,1,2,2,
cv_18,job_07,0,0,0,
cv_18,job_08,0,0,0,
cv_18,job_09,0,0,0,
cv_18,job_10,0,0,0,
cv_18,job_11,0,0,0,
cv_18,job_12,0,0,0,
cv_18,job_13,0,0,0,
cv_18,job_14,0,0,0,
cv_18,job_15,0,1,0,
cv_19,job_01,0,0,0,
cv_19,job_02,0,0,0,
cv_19,job_03,0,0,0,
cv_19,job_04,0,0,0,
cv_19,job_05,0,0,0,
cv_19,job_06,0,0,0,
cv_19,job_07,0,0,0,
cv_19,job_08,0,0,0,
cv_19,job_10,0,0,0,
cv_19,job_11,0,0,0,
cv_19,job_12,0,0,0,
cv_19,job_13,0,0,0,
cv_19,job_14,0,0,0,
cv_19,job_15,0,0,0,
cv_20,job_01,0,0,0,
cv_20,job_02,0,0,0,
cv_20,job_03,0,0,0,
cv_20,job_04,0,0,0,
cv_20,job_05,0,0,0,
cv_20,job_06,0,0,0,
cv_20,job_07,0,0,0,
cv_20,job_08,0,0,0,
cv_20,job_09,0,0,0,
cv_20,job_10,0,0,0,
cv_20,job_12,0,0,0,
cv_20,job_13,0,0,0,
cv_20,job_14,0,0,0,
cv_20,job_15,0,0,0,
cv_21,job_01,1,1,1,
cv_21,job_02,0,0,0,
cv_21,job_03,1,1,1,
cv_21,job_05,0,0,0,
cv_21,job_06,1,1,1,
cv_21,job_07,0,0,0,
cv_21,job_08,0,0,0,
cv_21,job_09,0,0,0,
cv_21,job_10,0,0,0,
cv_21,job_11,0,0,0,
cv_21,job_12,0,0,0,
cv_21,job_13,0,0,0,
cv_21,job_14,0,0,0,
cv_21,job_15,0,0,0,
cv_22,job_01,0,0,0,
cv_22,job_02,0,0,0,
cv_22,job_03,0,0,0,
cv_22,job_05,0,0,0,
cv_22,job_06,0,0,0,
cv_22,job_07,0,0,0,
cv_22,job_08,0,0,0,
cv_22,job_09,0,0,0,
cv_22,job_10,0,0,0,
cv_22,job_11,0,0,0,
cv_22,job_12,0,0,0,
cv_22,job_13,0,0,0,
cv_22,job_14,0,0,0,
cv_23,job_01,0,0,0,
cv_23,job_02,0,0,0,
cv_23,job_03,1,0,0,
cv_23,job_04,0,0,0,
cv_23,job_05,0,0,0,
cv_23,job_06,0,0,0,
cv_23,job_07,0,0,0,
cv_23,job_09,0,0,0,
cv_23,job_10,0,0,0,
cv_23,job_11,0,0,0,
cv_23,job_12,0,0,0,
cv_23,job_13,0,0,0,
cv_23,job_14,0,0,0,
cv_23,job_15,0,0,0,
cv_24,job_02,0,0,0,
cv_24,job_03,0,0,0,
cv_24,job_04,0,1,0,
cv_24,job_05,0,0,0,
cv_24,job_07,0,0,0,
cv_24,job_08,0,0,0,
cv_24,job_09,0,0,0,
cv_24,job_10,0,0,0,
cv_24,job_11,0,0,0,
cv_24,job_12,0,0,0,
cv_24,job_13,0,0,0,
cv_24,job_14,0,0,0,
cv_24,job_15,0,0,0,
cv_25,job_01,0,0,0,
cv_25,job_02,0,0,0,
cv_25,job_03,0,0,0,
cv_25,job_04,0,0,0,
cv_25,job_05,0,0,0,
cv_25,job_06,0,0,0,
cv_25,job_07,0,0,0,
cv_25,job_08,0,0,0,
cv_25,job_09,0,0,0,
cv_25,job_10,0,0,0,
cv_25,job_11,0,0,0,
cv_25,job_13,0,0,0,
cv_25,job_14,0,0,0,
cv_25,job_15,0,0,0,
cv_26,job_01,0,0,0,
cv_26,job_02,0,0,0,
cv_26,job_03,0,0,0,
cv_26,job_04,0,1,0,
cv_26,job_05,0,0,0,
cv_26,job_06,0,0,0,
cv_26,job_07,0,0,0,
cv_26,job_08,0,0,0,
cv_26,job_09,0,0,0,
cv_26,job_10,0,0,0,
cv_26,job_11,0,0,0,
cv_26,job_12,0,0,0,
cv_26,job_13,0,0,0,
cv_26,job_14,0,0,0,
cv_27,job_01,0,1,0,
cv_27,job_02,0,0,0,
cv_27,job_03,0,0,0,
cv_27,job_04,0,0,0,
cv_27,job_05,0,0,0,
cv_27,job_06,0,1,0,
cv_27,job_08,0,0,0,
cv_27,job_09,0,0,0,
cv_27,job_11,0,1,0,
cv_27,job_12,0,0,0,
cv_27,job_13,0,0,0,
cv_27,job_14,0,0,0,
cv_27,job_15,0,0,0,
cv_28,job_01,0,0,0,
cv_28,job_02,0,0,0,
cv_28,job_03,0,0,0,
cv_28,job_04,0,0,0,
cv_28,job_05,0,0,0,
cv_28,job_06,0,0,0,
cv_28,job_07,0,0,0,
cv_28,job_08,0,0,0,
cv_28,job_09,0,0,0,
cv_28,job_10,0,0,0,
cv_28,job_12,0,0,0,
cv_28,job_13,0,0,0,
cv_28,job_14,0,0,0,
cv_28,job_15,0,0,0,
cv_29,job_01,0,0,0,
cv_29,job_02,0,0,0,
cv_29,job_03,0,0,0,
cv_29,job_04,0,0,0,
cv_29,job_05,0,0,0,
cv_29,job_06,0,0,0,
cv_29,job_07,0,0,0,
cv_29,job_08,0,0,0,
cv_29,job_09,0,0,0,
cv_29,job_10,0,0,0,
cv_29,job_11,0,0,0,
cv_29,job_12,0,0,0,
cv_29,job_13,0,0,0,
cv_29,job_15,0,0,0,
cv_30,job_01,0,0,0,
cv_30,job_02,0,0,0,
cv_30,job_03,0,0,0,
cv_30,job_04,0,0,0,
cv_30,job_05,0,0,0,
cv_30,job_06,0,0,0,
cv_30,job_07,0,0,0,
cv_30,job_08,0,0,0,
cv_30,job_09,0,0,0,
cv_30,job_10,0,0,0,
cv_30,job_11,0,2,0,disagree>=2
cv_30,job_12,0,0,0,
cv_30,job_14,0,0,0,
cv_30,job_15,0,0,0,
