query_id,doc_id,candidate_skills,candidate_experience_years,candidate_summary,job_title,job_required_skills,job_required_experience,job_remote_policy,shared_skill_count_HINT,stratum_HINT,grade_annotator1,grade_annotator2,adjudicated_grade,annotator_rationale
cv_02,job_01,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_02,job_03,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_02,job_04,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_02,job_05,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_02,job_06,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_02,job_07,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_02,job_08,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_02,job_09,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_02,job_10,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_02,job_11,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_02,job_12,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_02,job_14,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_02,job_15,React; JavaScript; CSS,2,Frontend developer skilled in React and modern JavaScript frameworks.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_03,job_01,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_03,job_02,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_03,job_04,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_03,job_05,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_03,job_06,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_03,job_07,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_03,job_08,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_03,job_09,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_03,job_10,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_03,job_11,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_03,job_12,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_03,job_13,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_03,job_15,Java; Spring Boot; Microservices,4,Backend engineer experienced in Java Spring Boot and distributed systems.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_04,job_02,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_04,job_03,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_04,job_05,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_04,job_07,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_04,job_08,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_04,job_09,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_04,job_10,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_04,job_11,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_04,job_12,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_04,job_13,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_04,job_14,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_05,job_01,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_05,job_02,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_05,job_03,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_05,job_04,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_05,job_06,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_05,job_08,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_05,job_09,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_05,job_10,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_05,job_11,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_05,job_12,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_05,job_13,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_05,job_14,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_05,job_15,Docker; Kubernetes; CI/CD,5,DevOps engineer with strong experience in Docker and Kubernetes deployments.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_06,job_02,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_06,job_03,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_06,job_05,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_06,job_07,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_06,job_08,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_06,job_09,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_06,job_10,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_06,job_11,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_06,job_12,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_06,job_13,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_06,job_14,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_06,job_15,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_07,job_01,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_07,job_02,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_07,job_04,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_07,job_05,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_07,job_06,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_07,job_07,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_07,job_08,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_07,job_09,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_07,job_10,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_07,job_11,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_07,job_12,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_07,job_13,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_07,job_14,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_07,job_15,Node.js; Express; MongoDB,3,Backend developer specializing in Node.js and NoSQL databases.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_08,job_01,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_08,job_02,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_08,job_03,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_08,job_04,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_08,job_05,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_08,job_06,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_08,job_07,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_08,job_08,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_08,job_09,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_08,job_10,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_08,job_11,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_08,job_12,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_08,job_14,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_08,job_15,UI/UX; Figma; Design Systems,2,UI/UX designer experienced in building user-centered design systems.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_09,job_01,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_09,job_02,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_09,job_03,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_09,job_04,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_09,job_06,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_09,job_08,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_09,job_09,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_09,job_10,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_09,job_11,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_09,job_12,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_09,job_13,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_09,job_14,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_09,job_15,AWS; Terraform; Cloud Architecture,6,Cloud architect experienced in AWS infrastructure and Terraform automation.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_10,job_01,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_10,job_02,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_10,job_03,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_10,job_05,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_10,job_06,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_10,job_07,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_10,job_08,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_10,job_09,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_10,job_10,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_10,job_11,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_10,job_12,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_10,job_13,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_10,job_14,SQL; Power BI; Data Modeling,3,Business intelligence analyst with expertise in SQL and Power BI.,Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_11,job_01,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,0,easy_negative,,,,
cv_11,job_02,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_11,job_04,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Data Analyst,Python; Pandas,1,True,0,easy_negative,,,,
cv_11,job_05,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_11,job_06,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,NLP Engineer,Python; NLP; Transformers,3,True,0,easy_negative,,,,
cv_11,job_07,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
cv_11,job_08,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_11,job_09,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_11,job_10,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_11,job_11,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_11,job_12,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_11,job_13,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_11,job_15,Go; Microservices; Distributed Systems,5,Golang backend engineer with microservices and distributed systems experience.,Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
cv_12,job_02,Python; NLP; Transformers,4,NLP engineer experienced in transformer-based language models.,Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_12,job_03,Python; NLP; Transformers,4,NLP engineer experienced in transformer-based language models.,Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_12,job_05,Python; NLP; Transformers,4,NLP engineer experienced in transformer-based language models.,DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_12,job_07,Python; NLP; Transformers,4,NLP engineer experienced in transformer-based language models.,Cloud Architect,AWS; Terraform,5,False,0,easy_negative,,,,
